code,region,case,species,data year,No. total species,total catch,catch,discard rate,notes,scientific name
1,Australia,South and Eastern Scalefish and Shark Fishery,Blue Grenadier,2019,400,15981,7044,NA,,Macruronus novaezelandiae
1,Australia,South and Eastern Scalefish and Shark Fishery,Flathead,2019,400,15981,1967,NA,,Neoplatycephalus richardsoni
1,Australia,South and Eastern Scalefish and Shark Fishery,Gummy Shark,2019,400,15981,1779,NA,,Seriolella punctata
1,Australia,South and Eastern Scalefish and Shark Fishery,Pink Ling,2019,400,15981,833,NA,,Mustelus antarcticus
1,Australia,South and Eastern Scalefish and Shark Fishery,Deepwater Flathead,2019,400,15981,694,NA,,Genypterus blacodes
1,Australia,South and Eastern Scalefish and Shark Fishery,Orange Roughy (Eastern),2019,400,15981,619,NA,,Sillago flindersi
1,Australia,South and Eastern Scalefish and Shark Fishery,School Whiting,2019,400,15981,526,NA,,
1,Australia,South and Eastern Scalefish and Shark Fishery,Silver Warehou,2019,400,15981,307,NA,,
1,Australia,South and Eastern Scalefish and Shark Fishery,Blue Eye Trevalla,2019,400,15981,217,NA,,
1,Australia,South and Eastern Scalefish and Shark Fishery,Saw Shark,2019,400,15981,189,NA,,
1,Australia,South and Eastern Scalefish and Shark Fishery,School Shark,2019,400,15981,184,NA,,
1,Australia,South and Eastern Scalefish and Shark Fishery,Bight Redfish,2019,400,15981,170,NA,,
1,Australia,South and Eastern Scalefish and Shark Fishery,Ocean Perch,2019,400,15981,169,NA,,
1,Australia,South and Eastern Scalefish and Shark Fishery,Royal Red Prawn,2019,400,15981,164,NA,,
1,Australia,South and Eastern Scalefish and Shark Fishery,Ribaldo,2019,400,15981,129,NA,,
1,Australia,South and Eastern Scalefish and Shark Fishery,Mirror Dory,2019,400,15981,117,NA,,
1,Australia,South and Eastern Scalefish and Shark Fishery,Jackass Morwong,2019,400,15981,109,NA,,
1,Australia,South and Eastern Scalefish and Shark Fishery,Gemfish (Western),2019,400,15981,96,NA,,
1,Australia,South and Eastern Scalefish and Shark Fishery,Oreodory,2019,400,15981,94,NA,,
1,Australia,South and Eastern Scalefish and Shark Fishery,Orange Roughy (Southern),2019,400,15981,91,NA,,
1,Australia,South and Eastern Scalefish and Shark Fishery,Deepwater shark (western),2019,400,15981,85,NA,,
1,Australia,South and Eastern Scalefish and Shark Fishery,Smooth oreodory (other),2019,400,15981,76,NA,,
1,Australia,South and Eastern Scalefish and Shark Fishery,Gemfish (Eastern),2019,400,15981,71,NA,,
1,Australia,South and Eastern Scalefish and Shark Fishery,John Dory,2019,400,15981,68,NA,,
1,Australia,South and Eastern Scalefish and Shark Fishery,Elephant Fish,2019,400,15981,47,NA,,
1,Australia,South and Eastern Scalefish and Shark Fishery,Redfish,2019,400,15981,29,NA,,
1,Australia,South and Eastern Scalefish and Shark Fishery,Orange Roughy (Western),2019,400,15981,24,NA,,
1,Australia,South and Eastern Scalefish and Shark Fishery,Orange Roughy (Cascade Plateau),2019,400,15981,24,NA,,
1,Australia,South and Eastern Scalefish and Shark Fishery,Deepwater shark (eastern),2019,400,15981,22,NA,,
