code,region,case,x,y,total catch,notes
1,Australia,South and Eastern Scalefish and Shark Fishery,139.14,-35.85,16000,
2,Australia,Northern Prawn Fishery,134.57,-13.3,8581,
3,Australia,North West Slope Trawl Fishery,119.5,-16.61,67.4,
4,EU Mediterranean and Black Sea,Adriatic Sea mixed fishery,16.125,42.575,135629,
5,EU Mediterranean and Black Sea,Western Mediterranean demersal mixed fishery,10.8,40,13792.6,
6,EU North Atlantic,Atlantic Iberian Waters demersal mixed fishery,-6.5,40.25,14358,
7,EU North Atlantic,Baltic Sea mixed fishery,20,59.75,600000,
8,EU North Atlantic,Bay of Biscay demersal mixed fishery,-6,45.5,37737,
9,EU North Atlantic,Celtic Sea demersal mixed fishery,-9,51.25,56804,
10,EU North Atlantic,North Sea demersal mixed fishery,3.915,55.5,285385,
11,US,Bering Sea and Aleutian Island groundfish fishery,-173.5,58.75,1858807,
12,US,Gulf of Alaska groundfish fishery,-151.33,55.25,185927,
13,US,Gulf of Mexico reef fish fishery,-94,27,5608.6,
14,US,Gulf of Mexico shrimp fishery,-86,27,65231.1,
15,US,Northeast groundfish fishery,-70.875,40,36848,
16,US,Pacific Coast groundfish fishery,-120.5,40.5,129827,
17,US,South Atlantic snapper-grouper fishery,-77,30.25,2175.02,
18,US,West Coast coastal pelagic species fishery,-125.5,40.5,91199.4,
19,miscellaneous,Canada Pacific Region groundfish fishery,-130,50,141262,
20,miscellaneous,China-Shandong mixed fishery,121.75,36.5,2000000,estimated
21,miscellaneous,Indonesia deepwater snapper-grouper fishery,111,-5.5,100000,
22,miscellaneous,Northern Brazil-Guianas Shelf shrimp and groundfish fishery,-50.5,5,180000,estimated
23,miscellaneous,Northern Chile small pelagic fishery,-72,-21,599844,
24,miscellaneous,South African small pelagic fishery,23.5,-32.5,223779,
