code,region,case,abb.,x,y,trawl,hook and line,gillnet,pot and trap,seine,artisanal
1,Australia,South and Eastern Scalefish and Shark Fishery,SESSF,139.14,-35.85,1,1,1,1,1,
2,Australia,Northern Prawn Fishery,NPF,134.57,-13.3,1,,,,,
3,Australia,North West Slope Trawl Fishery,NWSTF,119.5,-16.61,1,,,,,
4,EU Mediterranean and Black Sea,Adriatic Sea mixed fishery,ASMF,16.125,42.575,1,,,,1,
5,EU Mediterranean and Black Sea,Western Mediterranean demersal mixed fishery,WMDF,10.8,40,1,,1,,,
6,EU North Atlantic,Atlantic Iberian Waters demersal mixed fishery,AIWDF,-6.5,40.25,1,,1,,,
7,EU North Atlantic,Baltic Sea mixed fishery,BSMF,20,59.75,1,,,,1,
8,EU North Atlantic,Bay of Biscay demersal mixed fishery,BBDMF,-6,45.5,1,,1,,,
9,EU North Atlantic,Celtic Sea demersal mixed fishery,CSDMF,-9,51.25,1,,1,,,
10,EU North Atlantic,North Sea demersal mixed fishery,GNSDMF,3.915,55.5,1,,,,1,
11,US,Bering Sea and Aleutian Island groundfish fishery,BSAIGF,-173.5,58.75,1,1,,1,,
12,US,Gulf of Alaska groundfish fishery,GOAGF,-151.33,55.25,1,1,,1,,
13,US,Gulf of Mexico reef fish fishery,GOMRFF,-94,27,,1,,,,
14,US,Gulf of Mexico shrimp fishery,GOMSF,-86,27,1,,,,,1
15,US,Northeast groundfish fishery,NEGF,-70.875,40,1,1,1,,,
16,US,Pacific Coast groundfish fishery,PCGF,-120.5,40.5,1,1,1,1,,1
17,US,South Atlantic snapper-grouper fishery,SASGF,-77,30.25,,1,,1,,1
18,US,West Coast coastal pelagic species fishery,WCCPF,-125.5,40.5,,,,,1,1
19,miscellaneous,Canada Pacific Region groundfish fishery,CPGF,-130,50,1,1,,,,
20,miscellaneous,China-Shandong mixed fishery,CNSDMF,121.75,36.5,1,,1,,,
21,miscellaneous,Indonesia deepwater snapper-grouper fishery,IDDSGF,111,-5.5,,1,,1,,1
22,miscellaneous,Northern Brazil-Guianas Shelf shrimp and groundfish fishery,NBGFSGF,-50.5,5,1,1,1,,,1
23,miscellaneous,Northern Chile small pelagic fishery,NCSPF,-72,-21,,,,,1,
24,miscellaneous,South African small pelagic fishery,SASPF,23.5,-32.5,,,,,1,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
